Title,URL,Short Intro,Category,Sub-Category,Course Type,Language,Subtitle Languages,Skills,Instructors,Rating,Number of viewers
Purdue Digital Marketing Bootcamp,https://www.simplilearn.com/digital-marketing-bootcamp-program?tag=,"Advance in your career as a digital marketer with this Digital Marketing Bootcamp from Simplilearn, in collaboration with Purdue University, by gaining the most in-demand skills in the field and mastering digital marketing tools and practices. _x000D_
_x000D_
",Simplilearn,,,,University Program,8583,Digital Marketing,,
Master in Management,https://www.simplilearn.com/master-in-management?tag=,"Kick start your management career with a Master in Management from IU, Germany. Focus on a specialist field in International Marketing, Finance, Accounting, IT Management, Engineering Management, Big Data Management, or Leadership â€“ with 100% flexibility in this Management  program._x000D_
",Simplilearn,,,,University Program,,Business and Leadership,,
Data Science for Business Decisions,https://www.simplilearn.com/data-science-for-business-decisions-program?tag=,Data Science plays a major role in supporting organizations in making strategic business decisions. Learn this in-demand skill set and turn yourself into a data-driven decision-maker to optimize the performance of your organization.,Simplilearn,,,,University Program,8583,Data Science & Business Analytics,,
Master in Engineering Management,https://www.simplilearn.com/master-in-engineering-management?tag=,"Kickstart your successful management career by gaining both technological expertise and management skills with the Master in Engineering Management Course at IU, Germany.  _x000D_
Establish yourself as a unique candidate developing your managerial skills in an international engineering projects context._x000D_
",Simplilearn,,,,University Program,,Business and Leadership,,
Data Science Bootcamp,https://www.simplilearn.com/data-science-bootcamp?tag=,"Learn to make data-driven decisions with this Data Science Bootcamp delivered through live-interactive sessions. Designed for working professionals, the program features masterclasses by distinguished Caltech instructors, interactive capstone projects, and office hours._x000D_
",Simplilearn,,Caltech is Ranked #1 in Best Universities in the US by Times Higher Education, Times Higher Education,University Program,8583,Data Science & Business Analytics,,
UMass Amherst Digital Marketing Bootcamp,https://www.simplilearn.com/digital-marketing-training-online?tag=,"Boost your career with this Digital Marketing Bootcamp from Simplilearn, in partnership with UMass Amherst Isenberg School Of Management. Learn top digital marketing skills and tools with this online digital marketing training featuring masterclasses from Meta. ",Simplilearn,,In partnership with UMass Amherst -Ranked #3 Best Digital Marketing Training,In partnership with UMass Amherst -Ranked #3 Best Digital Marketing Training,University Program,8583,Digital Marketing,,
Product Management Bootcamp,https://www.simplilearn.com/product-management-bootcamp?tag=,"The Product Management Bootcamp, in cooperation with Carlson School of Management, certifies you as a PM & grants UMN Alumni Association membership. Bootcamp offers 100% live online classes, hands-on learning of product concepts, Live masterclasses by UMN instructors & Simplilearn's Job Assistance",Simplilearn,,UMN ranked one of worldâ€™s leading Research Universities by Shanghai Ranking, Shanghai Ranking,University Program,8583,Business and Leadership,,
Professional Certificate Course in Data Engineering,https://www.simplilearn.com/iitk-professional-certificate-course-data-engineering?tag=,"Become a frontrunner data engineering professional with this program. Gain the essential skills and learn to use prominent tools required by data professionals to engineer unstructured raw data into consumable formats, through live sessions, hands-on labs, projects, and master classes.",Simplilearn,,,,University Program,8583,Big Data,,
Professional Certificate Course in AI and Machine Learning,https://www.simplilearn.com/iitk-professional-certificate-course-ai-machine-learning?tag=,"Become an AI and ML expert with this Machine Learning Course. Learn the latest tools and technologies of the AI world through live classes delivered by industry experts, hands-on labs, Industry-relevant projects and masterclasses from distinguished IIT Kanpur faculty.",Simplilearn,,,,University Program,8583,AI & Machine Learning,,
Online MBA course: University of New Haven,https://www.simplilearn.com/unh-online-mba-course?tag=,"Build your knowledge base and sharpen your skills to become a strategic, collaborative, and corporate thinker ready to navigate the business challenges professionals are faced with today through the University of New Haven MBA program._x000D_
",Simplilearn,,,,University Program,8583,Business and Leadership,,
Data Analytics Bootcamp,https://www.simplilearn.com/data-analytics-bootcamp?tag=,"Stay ahead of the data revolution with the Caltech Data Analytics Bootcamp, delivered in collaboration with Caltech. Designed for working professionals, the Data Analytics Bootcamp follows an applied learning model, featuring industry-oriented real-world projects and integrated labs.",Simplilearn,,,,University Program,8583,Data Science & Business Analytics,,
Data Scientist,https://www.simplilearn.com/,"This IBM-sponsored Data Science course includes unique hackathons, masterclasses, webinars, and Ask-Me-Anything sessions. The online training will give you hands-on experience with R, Python, Machine Learning, Tableau, Hadoop, and Spark. Improve your knowledge with this Data Science course and live interaction with other practitioners and Machine Learning Engineers.",Simplilearn,,Ranked #1 Best Data Science Course by Career Karma, Career Karma,Masters Program,,Data Science & Business Analytics,,
Data Analyst,https://www.simplilearn.com/,"This Data Analytics course in collaboration with IBM makes you a Data Analytics expert. Our Data Analyst course helps you learn analytics tools and techniques, how to work with SQL databases, R and Python, how to create data visualizations, and apply statistics and predictive analytics in a business environment. This Data Analytics certification also features Masterclasses from IBM experts.",Simplilearn,,Ranked #1 Best Data Analytics Certification Course by Career Karma, Career Karma,Masters Program,,Data Science & Business Analytics,,
Digital Project Manager,https://www.simplilearn.com/search?item_type=course%2Cbundle%2Ccohort_master%2Cuniversity_master&tag=Digital%20Project%20Manager,"Customized learning paths, 4x outcomes & completion rates; award-winning client support.",Simplilearn,,,,Masters Program,,Project Management,,
AWS Cloud Architect,https://www.simplilearn.com/search?item_type=course%2Cbundle%2Ccohort_master%2Cuniversity_master&tag=AWS%20Cloud%20Architect,"Customized learning paths, 4x outcomes & completion rates; award-winning client support.",Simplilearn,,,,Masters Program,,Cloud Computing,,
PMPÂ® Plus,https://www.simplilearn.com/search?item_type=course%2Cbundle%2Ccohort_master%2Cuniversity_master&tag=PMPÂ®%20Plus,"Customized learning paths, 4x outcomes & completion rates; award-winning client support.",Simplilearn,,,,Masters Program,,Project Management,,
Business Analyst,https://www.simplilearn.com/search?item_type=course%2Cbundle%2Ccohort_master%2Cuniversity_master&tag=Business%20Analyst,"Become job-ready with a globally recognized Business Analyst Certification Course that is designed to train you on all three aspects of Business Analysis - Planning and monitoring, Requirements elicitation, and Requirements management & communication. Learn the latest tools, work on real-world projects, and attend Masterclasses from IBM experts._x000D_
",Simplilearn,,,,Masters Program,,Business and Leadership,,
Cloud Architect,https://www.simplilearn.com/search?item_type=course%2Cbundle%2Ccohort_master%2Cuniversity_master&tag=Cloud%20Architect,"Simplilearnâ€™s Cloud Architect Certification Course will build your AWS, Microsoft Azure and Google Cloud Platform expertise from the ground up. Youâ€™ll learn to master the architectural principles and services of the top cloud platforms, design and deploy highly scalable, fault-tolerant applications and develop skills to transform yourself into an AWS, Azure cloud and GCP architect.",Simplilearn,,,,Masters Program,,Cloud Computing,,
PMPÂ® Renewal Pack Bundle: Earn 60 PDUs,https://www.simplilearn.com/search?item_type=course%2Cbundle%2Ccohort_master%2Cuniversity_master&tag=PMPÂ®%20Renewal%20Pack%20Bundle:%20Earn%2060%20PDUs,,Simplilearn,,,,Masters Program,,Project Management,,
Artificial Intelligence Engineer,https://www.simplilearn.com/search?item_type=course%2Cbundle%2Ccohort_master%2Cuniversity_master&tag=Artificial%20Intelligence%20Engineer,"Accelerate your career with this Master's in Artificial Intelligence in conjunction with IBM. This program includes industry-relevant courses, such as Data Science with Python, Machine Learning, Deep Learning, NLP, and Chat GPT and also features hackathons and AMA sessions hosted by IBM. Get job-ready in the AI domain with Capstone projects, practical labs, live sessions, and hands-on projects.",Simplilearn,,Ranked #1 Masters in Artificial Intelligence Program by Career Karma, Career Karma,Masters Program,,AI & Machine Learning,,
DevOps Engineer,https://www.simplilearn.com/search?item_type=course%2Cbundle%2Ccohort_master%2Cuniversity_master&tag=DevOps%20Engineer,"Customized learning paths, 4x outcomes & completion rates; award-winning client support.",Simplilearn,,,,Masters Program,,DevOps,,
